Month,hour,day_type,DLS,Indoor_Temperature,average_unmet_cooling_setpoint_difference,indoor_relative_humidity,non_shiftable_load,solar_generation,DWH_Heating,cooling_demand,heating_demand
0,0,4,0,0,0,0,0.439524,0.0,0,0,0
0,1,4,0,0,0,0,0.35536599999999996,0.0,0,0,0
0,2,4,0,0,0,0,0.271904,0.0,0,0,0
0,3,4,0,0,0,0,0.204421,0.0,0,0,0
0,4,4,0,0,0,0,0.182323,0.0,0,0,0
0,5,4,0,0,0,0,0.17632,0.0,0,0,0
0,6,4,0,0,0,0,0.191893,0.0,0,0,0
0,7,4,0,0,0,0,0.210337,0.0,0,0,0
0,8,4,0,0,0,0,0.259521,0.018,0,0,0
0,9,4,0,0,0,0,0.30363,0.02816759897,0,0,0
0,10,4,0,0,0,0,0.39063,0.05751960662,0,0,0
0,11,4,0,0,0,0,0.45373399999999997,0.06516698291999999,0,0,0
0,12,4,0,0,0,0,0.45741699999999996,0.05486161067,0,0,0
0,13,4,0,0,0,0,0.462608,0.04189803928,0,0,0
0,14,4,0,0,0,0,0.450718,0.017583867569999998,0,0,0
0,15,4,0,0,0,0,0.444077,0.002060545889,0,0,0
0,16,4,0,0,0,0,0.46927800000000003,0.0,0,0,0
0,17,4,0,0,0,0,0.621093,0.0,0,0,0
0,18,4,0,0,0,0,0.6506730000000001,0.0,0,0,0
0,19,4,0,0,0,0,0.638638,0.0,0,0,0
0,20,4,0,0,0,0,0.6299089999999999,0.0,0,0,0
0,21,4,0,0,0,0,0.53389,0.0,0,0,0
0,22,4,0,0,0,0,0.478645,0.0,0,0,0
0,23,4,0,0,0,0,0.39448700000000003,0.0,0,0,0
0,0,5,0,0,0,0,0.286926,0.0,0,0,0
0,1,5,0,0,0,0,0.211787,0.0,0,0,0
0,2,5,0,0,0,0,0.18444,0.0,0,0,0
0,3,5,0,0,0,0,0.17516,0.0,0,0,0
0,4,5,0,0,0,0,0.17139,0.0,0,0,0
0,5,5,0,0,0,0,0.17545,0.0,0,0,0
0,6,5,0,0,0,0,0.194619,0.0,0,0,0
0,7,5,0,0,0,0,0.24893600000000002,0.0,0,0,0
0,8,5,0,0,0,0,0.348116,0.005457893896,0,0,0
0,9,5,0,0,0,0,0.431926,0.016682946650000002,0,0,0
0,10,5,0,0,0,0,0.484996,0.01256074539,0,0,0
0,11,5,0,0,0,0,0.48644600000000005,0.013802283069999999,0,0,0
0,12,5,0,0,0,0,0.47977600000000004,0.02117177531,0,0,0
0,13,5,0,0,0,0,0.47948599999999997,0.009359473058,0,0,0
0,14,5,0,0,0,0,0.466726,0.009442144623,0,0,0
0,15,5,0,0,0,0,0.46643599999999996,0.00213198127,0,0,0
0,16,5,0,0,0,0,0.516026,0.0,0,0,0
0,17,5,0,0,0,0,0.6439450000000001,0.0,0,0,0
0,18,5,0,0,0,0,0.6671159999999999,0.0,0,0,0
0,19,5,0,0,0,0,0.673206,0.0,0,0,0
0,20,5,0,0,0,0,0.625443,0.0,0,0,0
0,21,5,0,0,0,0,0.562716,0.0,0,0,0
0,22,5,0,0,0,0,0.504136,0.0,0,0,0
0,23,5,0,0,0,0,0.414236,0.0,0,0,0
0,0,6,0,0,0,0,0.299396,0.0,0,0,0
0,1,6,0,0,0,0,0.221357,0.0,0,0,0
0,2,6,0,0,0,0,0.18299,0.0,0,0,0
0,3,6,0,0,0,0,0.17139,0.0,0,0,0
0,4,6,0,0,0,0,0.16907,0.0,0,0,0
0,5,6,0,0,0,0,0.17052,0.0,0,0,0
0,6,6,0,0,0,0,0.18096,0.0,0,0,0
0,7,6,0,0,0,0,0.219037,0.0,0,0,0
0,8,6,0,0,0,0,0.299976,0.006547800244,0,0,0
0,9,6,0,0,0,0,0.384656,0.016425969909999998,0,0,0
0,10,6,0,0,0,0,0.448166,0.02832561222,0,0,0
0,11,6,0,0,0,0,0.49282600000000004,0.03860458406,0,0,0
0,12,6,0,0,0,0,0.49630599999999997,0.03841078459,0,0,0
0,13,6,0,0,0,0,0.489346,0.02862300809,0,0,0
